r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1N1P/PPQN1PP1/1K2R2R b q - 3 15,-206
r2qkbr1/pb1nn3/1ppp3p/3P4/5p2/2PB1N1P/PPQN1PP1/2K1R2R b q - 0 15,-55
r2qkbr1/pb1nn3/1ppp3p/8/3P1p1P/2PB1N2/PPQN1PP1/2K1R2R b q - 0 15,-130
r2qkbr1/pb1nn3/1ppp3p/8/2PP1p2/3B1N1P/PPQN1PP1/2K1R2R b q - 0 15,-106
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/2PB1NPP/PPQN1P2/2K1R2R b q - 0 15,-139
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/1PPB1N1P/P1QN1PP1/2K1R2R b q - 0 15,-161
r2qkbr1/pb1nn3/1ppp3p/8/3P1p2/P1PB1N1P/1PQN1PP1/2K1R2R b q - 0 15,-151
r2qkbr1/pb1nn3/1ppp3p/8/3P1pP1/2PB1N1P/PPQN1P2/2K1R2R b q g3 0 15,-32
r2qkbr1/pb1nn3/1ppp3p/8/1P1P1p2/2PB1N1P/P1QN1PP1/2K1R2R b q - 0 15,-209
r2qkbr1/pb1nn3/1ppp3p/8/P2P1p2/2PB1N1P/1PQN1PP1/2K1R2R b q - 0 15,-171
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P2N1P/PPQN1PP1/2K1R2R w q - 0 16,#+1
r2qkb2/pb1nn3/1ppp2rp/6N1/3P1p2/2P4P/PPQN1PP1/2K1R2R b q - 1 16,-444
r2qkb2/pb1nn3/1ppp2rp/4N3/3P1p2/2P4P/PPQN1PP1/2K1R2R b q - 1 16,-568
r2qkb2/pb1nn3/1ppp2rp/8/3P1p1N/2P4P/PPQN1PP1/2K1R2R b q - 1 16,-249
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P4P/PPQN1PPN/2K1R2R b q - 1 16,-366
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/2P4P/PPQN1PP1/2K1R1NR b q - 1 16,-371
r2qkb2/pb1nn3/1ppp2rp/8/3PNp2/2P2N1P/PPQ2PP1/2K1R2R b q - 1 16,-354
r2qkb2/pb1nn3/1ppp2rp/8/2NP1p2/2P2N1P/PPQ2PP1/2K1R2R b q - 1 16,-368
r2qkb2/pb1nn3/1ppp2rp/8/3P1p2/1NP2N1P/PPQ2PP1/2K1R2R b q - 1 16,-378
